Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-10-09 08:13:44Z : PB = 233586688 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 08:13:44Z : PB = 233586688 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 08:13:44Z : PB = 233586688 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 08:13:44Z : PB = 234418176 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 08:13:44Z : PB = 234418176 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 08:13:44Z : PB = 234418176 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 08:13:44Z : PB = 241111040 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 08:13:44Z : PB = 241111040 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 08:13:44Z : PB = 241111040 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 08:13:44Z : PB = 241111040 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 08:13:44Z : PB = 241111040 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 08:13:44Z : PB = 241123328 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 08:13:44Z : PB = 241160192 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 08:13:44Z : PB = 241160192 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 08:13:44Z : PB = 248320000 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 08:13:44Z : PB = 248070144 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 08:13:44Z : PB = 248070144 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 08:13:44Z : PB = 248070144 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
