Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-12-01 16:09:39Z : PB = 399126528 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:39Z : PB = 399126528 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:39Z : PB = 399126528 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 399126528 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 399126528 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 399126528 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 405123072 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 405123072 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 405123072 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 405123072 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 405123072 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 405127168 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 405127168 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 405127168 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 411332608 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 411463680 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 411529216 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 411529216 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 411529216 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 411529216 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 411529216 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 411529216 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 417579008 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 402948096 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 402948096 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 402948096 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 402948096 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 402968576 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 402968576 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 402968576 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 405004288 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 405004288 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 405004288 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 405004288 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 405004288 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 405004288 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 405004288 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 405004288 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 405135360 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 405135360 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 405135360 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 405135360 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 405135360 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 405139456 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 405139456 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
